genome	gene	protein
OceanDNA-b25661	TAT	OceanDNA-b25661_00084_4
OceanDNA-b25314	PR	OceanDNA-b25314_00305_2
OceanDNA-b25316	PR	OceanDNA-b25316_00253_2
OceanDNA-b25318	PR	OceanDNA-b25318_00012_13
OceanDNA-b25319	PR	OceanDNA-b25319_00077_2
OceanDNA-b25321	PR	OceanDNA-b25321_00211_2
OceanDNA-b25322	PR	OceanDNA-b25322_00177_2
OceanDNA-b25326	PR	OceanDNA-b25326_00227_2
OceanDNA-b25331	PR	OceanDNA-b25331_00132_2
OceanDNA-b25334	PR	OceanDNA-b25334_00117_3
OceanDNA-b25335	PR	OceanDNA-b25335_00022_7
OceanDNA-b25336	PR	OceanDNA-b25336_00187_1
OceanDNA-b25468	PR	OceanDNA-b25468_00111_2
OceanDNA-b25473	PR	OceanDNA-b25473_00189_2
OceanDNA-b25325	PR	OceanDNA-b25325_00263_2
OceanDNA-b25332	PR	OceanDNA-b25332_00138_2
OceanDNA-b25472	TAT	OceanDNA-b25472_00001_157
OceanDNA-b25535	TAT	OceanDNA-b25535_00008_3
OceanDNA-b25638	TAT	OceanDNA-b25638_00179_3
OceanDNA-b25601	TAT	OceanDNA-b25601_00001_4
OceanDNA-b25330	PR	OceanDNA-b25330_00008_14
OceanDNA-b25636	TAT	OceanDNA-b25636_00124_2
OceanDNA-b25642	TAT	OceanDNA-b25642_00120_3
OceanDNA-b25643	TAT	OceanDNA-b25643_00031_10
OceanDNA-b25602	TAT	OceanDNA-b25602_00004_10
OceanDNA-b25627	TAT	OceanDNA-b25627_00009_2
OceanDNA-b25622	TAT	OceanDNA-b25622_00041_2
OceanDNA-b25522	PR	OceanDNA-b25522_00258_2
OceanDNA-b25597	TAT	OceanDNA-b25597_00297_3
OceanDNA-b25598	TAT	OceanDNA-b25598_00083_4
OceanDNA-b25482	PR	OceanDNA-b25482_00100_1
OceanDNA-b25506	PR	OceanDNA-b25506_00081_3
OceanDNA-b25508	PR	OceanDNA-b25508_00075_3
OceanDNA-b25595	PR	OceanDNA-b25595_00060_2
OceanDNA-b25618	PR	OceanDNA-b25618_00024_4
OceanDNA-b25627	PR	OceanDNA-b25627_00049_5
OceanDNA-b25686	PR	OceanDNA-b25686_00093_2
OceanDNA-b25689	PR	OceanDNA-b25689_00008_13
OceanDNA-b25611	TAT	OceanDNA-b25611_00006_13
OceanDNA-b25690	PR	OceanDNA-b25690_00061_3
OceanDNA-b25608	PR	OceanDNA-b25608_00160_1
OceanDNA-b25621	PR	OceanDNA-b25621_00019_5
OceanDNA-b25626	PR	OceanDNA-b25626_00141_2
OceanDNA-b25628	PR	OceanDNA-b25628_00011_12
OceanDNA-b25520	PR	OceanDNA-b25520_00021_3
OceanDNA-b25523	PR	OceanDNA-b25523_00202_2
OceanDNA-b25521	PR	OceanDNA-b25521_00123_2
OceanDNA-b25597	PR	OceanDNA-b25597_00057_1
OceanDNA-b25619	PR	OceanDNA-b25619_00045_2
OceanDNA-b25655	TAT	OceanDNA-b25655_00050_1
OceanDNA-b25598	PR	OceanDNA-b25598_00025_5
OceanDNA-b25620	PR	OceanDNA-b25620_00106_3
OceanDNA-b25496	PR	OceanDNA-b25496_00218_1
OceanDNA-b25615	PR	OceanDNA-b25615_00055_4
OceanDNA-b25625	PR	OceanDNA-b25625_00083_2
OceanDNA-b25602	PR	OceanDNA-b25602_00078_2
OceanDNA-b25604	PR	OceanDNA-b25604_00007_10
OceanDNA-b25609	PR	OceanDNA-b25609_00016_9
OceanDNA-b25470	PR	OceanDNA-b25470_00030_8
OceanDNA-b25610	PR	OceanDNA-b25610_00027_3
OceanDNA-b25614	PR	OceanDNA-b25614_00083_3
OceanDNA-b25601	PR	OceanDNA-b25601_00021_5
OceanDNA-b25607	PR	OceanDNA-b25607_00170_3
OceanDNA-b25611	PR	OceanDNA-b25611_00039_5
OceanDNA-b25612	PR	OceanDNA-b25612_00109_1
OceanDNA-b25616	PR	OceanDNA-b25616_00008_11
OceanDNA-b25622	PR	OceanDNA-b25622_00185_2
OceanDNA-b25624	PR	OceanDNA-b25624_00053_7
OceanDNA-b25629	PR	OceanDNA-b25629_00064_3
OceanDNA-b25484	PR	OceanDNA-b25484_00014_6
OceanDNA-b25485	PR	OceanDNA-b25485_00120_2
OceanDNA-b25488	PR	OceanDNA-b25488_00041_6
OceanDNA-b25489	PR	OceanDNA-b25489_00177_1
OceanDNA-b25491	PR	OceanDNA-b25491_00019_2
OceanDNA-b25493	PR	OceanDNA-b25493_00160_2
OceanDNA-b25495	PR	OceanDNA-b25495_00189_2
OceanDNA-b25497	PR	OceanDNA-b25497_00046_6
OceanDNA-b25498	PR	OceanDNA-b25498_00152_2
OceanDNA-b25499	PR	OceanDNA-b25499_00003_6
OceanDNA-b25502	PR	OceanDNA-b25502_00003_22
OceanDNA-b25623	PR	OceanDNA-b25623_00171_2
OceanDNA-b25685	PR	OceanDNA-b25685_00013_5
OceanDNA-b25503	PR	OceanDNA-b25503_00038_2
OceanDNA-b25501	PR	OceanDNA-b25501_00006_22
OceanDNA-b25471	PR	OceanDNA-b25471_00015_2
OceanDNA-b25472	PR	OceanDNA-b25472_00013_7
OceanDNA-b25473	TAT	OceanDNA-b25473_00017_5
OceanDNA-b25602	PR	OceanDNA-b25602_00088_5
OceanDNA-b25486	PR	OceanDNA-b25486_00039_8
OceanDNA-b25528	PR	OceanDNA-b25528_00021_2
OceanDNA-b25635	PR	OceanDNA-b25635_00133_3
OceanDNA-b25636	PR	OceanDNA-b25636_00047_6
OceanDNA-b25640	PR	OceanDNA-b25640_00132_2
OceanDNA-b25642	PR	OceanDNA-b25642_00050_6
OceanDNA-b25643	PR	OceanDNA-b25643_00034_11
OceanDNA-b25651	PR	OceanDNA-b25651_00006_9
OceanDNA-b25657	PR	OceanDNA-b25657_00069_2
OceanDNA-b25660	PR	OceanDNA-b25660_00271_2
OceanDNA-b25661	PR	OceanDNA-b25661_00075_4
OceanDNA-b25663	PR	OceanDNA-b25663_00152_2
OceanDNA-b25664	PR	OceanDNA-b25664_00048_4
OceanDNA-b25665	PR	OceanDNA-b25665_00163_3
OceanDNA-b25666	PR	OceanDNA-b25666_00179_1
OceanDNA-b25671	PR	OceanDNA-b25671_00244_2
OceanDNA-b25674	PR	OceanDNA-b25674_00004_15
OceanDNA-b25676	PR	OceanDNA-b25676_00077_2
OceanDNA-b25678	PR	OceanDNA-b25678_00053_2
OceanDNA-b25631	PR	OceanDNA-b25631_00070_5
OceanDNA-b25638	PR	OceanDNA-b25638_00036_8
OceanDNA-b25653	PR	OceanDNA-b25653_00277_2
OceanDNA-b25655	PR	OceanDNA-b25655_00003_9
OceanDNA-b25656	PR	OceanDNA-b25656_00060_2
OceanDNA-b25669	PR	OceanDNA-b25669_00011_5
OceanDNA-b25675	PR	OceanDNA-b25675_00041_6
OceanDNA-b25639	PR	OceanDNA-b25639_00029_8
OceanDNA-b25645	PR	OceanDNA-b25645_00149_3
OceanDNA-b25649	PR	OceanDNA-b25649_00029_2
OceanDNA-b25673	PR	OceanDNA-b25673_00003_15
OceanDNA-b25537	PR	OceanDNA-b25537_00176_2
OceanDNA-b25538	PR	OceanDNA-b25538_00078_4
OceanDNA-b25539	PR	OceanDNA-b25539_00061_2
OceanDNA-b25540	PR	OceanDNA-b25540_00050_2
OceanDNA-b25541	PR	OceanDNA-b25541_00063_4
OceanDNA-b25542	PR	OceanDNA-b25542_00120_2
OceanDNA-b25545	PR	OceanDNA-b25545_00129_2
OceanDNA-b25547	PR	OceanDNA-b25547_00148_2
OceanDNA-b25548	PR	OceanDNA-b25548_00045_2
OceanDNA-b25549	PR	OceanDNA-b25549_00087_1
OceanDNA-b25550	PR	OceanDNA-b25550_00022_8
OceanDNA-b25551	PR	OceanDNA-b25551_00041_5
OceanDNA-b25552	PR	OceanDNA-b25552_00096_4
OceanDNA-b25553	PR	OceanDNA-b25553_00038_2
OceanDNA-b25554	PR	OceanDNA-b25554_00157_2
OceanDNA-b25555	PR	OceanDNA-b25555_00051_1
OceanDNA-b25556	PR	OceanDNA-b25556_00020_12
OceanDNA-b25558	PR	OceanDNA-b25558_00040_6
OceanDNA-b25559	PR	OceanDNA-b25559_00065_6
OceanDNA-b25560	PR	OceanDNA-b25560_00014_12
OceanDNA-b25561	PR	OceanDNA-b25561_00020_6
OceanDNA-b25562	PR	OceanDNA-b25562_00034_6
OceanDNA-b25564	PR	OceanDNA-b25564_00020_5
OceanDNA-b25566	PR	OceanDNA-b25566_00025_7
OceanDNA-b25567	PR	OceanDNA-b25567_00064_5
OceanDNA-b25568	PR	OceanDNA-b25568_00071_5
OceanDNA-b25569	PR	OceanDNA-b25569_00005_4
OceanDNA-b25570	PR	OceanDNA-b25570_00099_2
OceanDNA-b25571	PR	OceanDNA-b25571_00016_14
OceanDNA-b25572	PR	OceanDNA-b25572_00044_6
OceanDNA-b25573	PR	OceanDNA-b25573_00018_3
OceanDNA-b25574	PR	OceanDNA-b25574_00038_6
OceanDNA-b25575	PR	OceanDNA-b25575_00066_4
OceanDNA-b25576	PR	OceanDNA-b25576_00129_2
OceanDNA-b25578	PR	OceanDNA-b25578_00008_4
OceanDNA-b25579	PR	OceanDNA-b25579_00092_2
OceanDNA-b25580	PR	OceanDNA-b25580_00097_4
OceanDNA-b25581	PR	OceanDNA-b25581_00080_2
OceanDNA-b25582	PR	OceanDNA-b25582_00069_2
OceanDNA-b25584	PR	OceanDNA-b25584_00037_5
OceanDNA-b25585	PR	OceanDNA-b25585_00037_2
OceanDNA-b25586	PR	OceanDNA-b25586_00017_9
OceanDNA-b25587	PR	OceanDNA-b25587_00007_6
OceanDNA-b25588	PR	OceanDNA-b25588_00100_2
OceanDNA-b25589	PR	OceanDNA-b25589_00054_4
OceanDNA-b25590	PR	OceanDNA-b25590_00023_2
OceanDNA-b25659	PR	OceanDNA-b25659_00103_2
OceanDNA-b25670	PR	OceanDNA-b25670_00031_9
OceanDNA-b25683	PR	OceanDNA-b25683_00031_1
OceanDNA-b25687	PR	OceanDNA-b25687_00081_2
OceanDNA-b25694	PR	OceanDNA-b25694_00122_2
OceanDNA-b25695	PR	OceanDNA-b25695_00036_4
OceanDNA-b25697	PR	OceanDNA-b25697_00193_2
OceanDNA-b25698	PR	OceanDNA-b25698_00231_2
OceanDNA-b25699	PR	OceanDNA-b25699_00174_2
OceanDNA-b25701	PR	OceanDNA-b25701_00232_2
OceanDNA-b25702	PR	OceanDNA-b25702_00156_1
OceanDNA-b25652	PR	OceanDNA-b25652_00105_1
OceanDNA-b25618	TAT	OceanDNA-b25618_00192_3
OceanDNA-b25533	PR	OceanDNA-b25533_00105_1
OceanDNA-b25544	PR	OceanDNA-b25544_00162_2
OceanDNA-b25681	PR	OceanDNA-b25681_00316_2
OceanDNA-b25506	TAT	OceanDNA-b25506_00047_5
OceanDNA-b25599	TAT	OceanDNA-b25599_00271_10
OceanDNA-b25605	PR	OceanDNA-b25605_00102_1
OceanDNA-b25525	PR	OceanDNA-b25525_00057_4
OceanDNA-b25517	PR	OceanDNA-b25517_00103_1
OceanDNA-b25476	PR	OceanDNA-b25476_00206_1
OceanDNA-b25478	PR	OceanDNA-b25478_00128_2
OceanDNA-b25509	PR	OceanDNA-b25509_00028_10
OceanDNA-b25479	PR	OceanDNA-b25479_00118_2
OceanDNA-b25704	PR	OceanDNA-b25704_00068_1
OceanDNA-b25673	TAT	OceanDNA-b25673_00205_1
OceanDNA-b25593	PR	OceanDNA-b25593_00090_1
OceanDNA-b25528	TAT	OceanDNA-b25528_00144_3
OceanDNA-b25681	TAT	OceanDNA-b25681_00022_5
OceanDNA-b25504	PR	OceanDNA-b25504_00135_3
OceanDNA-b25507	PR	OceanDNA-b25507_00181_2
OceanDNA-b25529	PR	OceanDNA-b25529_00135_2
OceanDNA-b25516	TAT	OceanDNA-b25516_00214_3
OceanDNA-b25678	TAT	OceanDNA-b25678_00073_1
OceanDNA-b25593	TAT	OceanDNA-b25593_00221_3
OceanDNA-b25646	TAT	OceanDNA-b25646_00105_1
OceanDNA-b25666	TAT	OceanDNA-b25666_00194_1
OceanDNA-b25630	PR	OceanDNA-b25630_00083_3
OceanDNA-b25682	TAT	OceanDNA-b25682_00059_4
OceanDNA-b25600	PR	OceanDNA-b25600_00203_3
OceanDNA-b25680	TAT	OceanDNA-b25680_00260_1
OceanDNA-b25596	PR	OceanDNA-b25596_00091_2
OceanDNA-b25668	TAT	OceanDNA-b25668_00175_3
OceanDNA-b25681	TAT	OceanDNA-b25681_00086_4
OceanDNA-b25654	TAT	OceanDNA-b25654_00081_1
OceanDNA-b25646	TAT	OceanDNA-b25646_00041_9
OceanDNA-b25696	PR	OceanDNA-b25696_00323_1
OceanDNA-b25591	PR	OceanDNA-b25591_00124_1
OceanDNA-b25613	PR	OceanDNA-b25613_00242_1
OceanDNA-b25634	PR	OceanDNA-b25634_00011_11
OceanDNA-b25668	PR	OceanDNA-b25668_00199_2
OceanDNA-b25677	PR	OceanDNA-b25677_00410_2
OceanDNA-b25680	PR	OceanDNA-b25680_00414_2
OceanDNA-b25677	PR	OceanDNA-b25677_00418_2
OceanDNA-b25648	TAT	OceanDNA-b25648_00130_1
OceanDNA-b25593	PR	OceanDNA-b25593_00191_1
OceanDNA-b25662	PR	OceanDNA-b25662_00156_4
OceanDNA-b25667	PR	OceanDNA-b25667_00229_1
OceanDNA-b25482	TAT	OceanDNA-b25482_00402_2
OceanDNA-b25652	PR	OceanDNA-b25652_00243_1
OceanDNA-b25592	PR	OceanDNA-b25592_00184_1
OceanDNA-b25672	TAT	OceanDNA-b25672_00297_1
OceanDNA-b25682	TAT	OceanDNA-b25682_00262_3
OceanDNA-b25644	PR	OceanDNA-b25644_00162_1
OceanDNA-b25662	TAT	OceanDNA-b25662_00047_6
OceanDNA-b25532	PR	OceanDNA-b25532_00352_1
OceanDNA-b25469	PR	OceanDNA-b25469_00158_2
OceanDNA-b25637	TAT	OceanDNA-b25637_00196_3
OceanDNA-b25678	TAT	OceanDNA-b25678_00358_1
OceanDNA-b25680	TAT	OceanDNA-b25680_00392_3
OceanDNA-b25515	TAT	OceanDNA-b25515_00109_1
OceanDNA-b25337	PR	OceanDNA-b25337_00298_4
OceanDNA-b25505	TAT	OceanDNA-b25505_00285_2
OceanDNA-b25337	PR	OceanDNA-b25337_00363_1
OceanDNA-b25600	PR	OceanDNA-b25600_00105_1
OceanDNA-b25657	TAT	OceanDNA-b25657_00153_1
OceanDNA-b25672	TAT	OceanDNA-b25672_00126_4
OceanDNA-b25673	TAT	OceanDNA-b25673_00213_3
OceanDNA-b25617	PR	OceanDNA-b25617_00158_2
OceanDNA-b25679	PR	OceanDNA-b25679_00211_4
OceanDNA-b25674	PR	OceanDNA-b25674_00013_1
OceanDNA-b25656	TAT	OceanDNA-b25656_00200_1
OceanDNA-b25641	PR	OceanDNA-b25641_00107_1
OceanDNA-b25594	TAT	OceanDNA-b25594_00364_3
OceanDNA-b25529	PR	OceanDNA-b25529_00115_1
OceanDNA-b25676	TAT	OceanDNA-b25676_00087_4
OceanDNA-b25524	PR	OceanDNA-b25524_00238_2
OceanDNA-b25596	TAT	OceanDNA-b25596_00125_1
OceanDNA-b25668	TAT	OceanDNA-b25668_00175_2
OceanDNA-b25481	PR	OceanDNA-b25481_00133_1
OceanDNA-b25612	PR	OceanDNA-b25612_00033_8
OceanDNA-b25516	TAT	OceanDNA-b25516_00237_1
OceanDNA-b25594	PR	OceanDNA-b25594_00216_1
OceanDNA-b25576	PR	OceanDNA-b25576_00215_1
OceanDNA-b25597	PR	OceanDNA-b25597_00129_4
OceanDNA-b25505	TAT	OceanDNA-b25505_00194_1
OceanDNA-b25666	TAT	OceanDNA-b25666_00142_4
OceanDNA-b25521	TAT	OceanDNA-b25521_00007_20
OceanDNA-b25646	PR	OceanDNA-b25646_00042_9
OceanDNA-b25599	PR	OceanDNA-b25599_00160_1
OceanDNA-b25681	PR	OceanDNA-b25681_00189_1
OceanDNA-b25520	TAT	OceanDNA-b25520_00171_1
OceanDNA-b25476	PR	OceanDNA-b25476_00172_1
OceanDNA-b25481	PR	OceanDNA-b25481_00031_1
OceanDNA-b25663	TAT	OceanDNA-b25663_00055_5
OceanDNA-b25631	PR	OceanDNA-b25631_00025_1
